",""baseMean"",""log2FoldChange"",""lfcSE"",""stat"",""pvalue"",""padj"""
jg17574.t1,888.03911880049,1.72688689647377,0.370299583476573,4.66348592742346,3.10897455002724e-06,2.31270204963437e-05
jg7979.t1,541.118196714285,0.38749315614794,0.393562189312277,0.98457922704683,0.324830797479645,0.474562078550367
jg24245.t1,2099.31302515208,-0.412267653061301,0.0698602691889615,-5.90131784270941,3.60609422898087e-09,4.46664641775213e-08
jg1046.t1,0.74512162338625,-0.300798756476278,4.32794324775639,-0.0695015482544076,0.944590400306676,NA
jg12134.t1,57.0103081444044,-0.126999642605843,0.45838744859669,-0.27705741724526,0.781736018442603,0.877212794448253
jg25841.t1,1385.91171841043,-0.908365320073044,0.107785088776417,-8.427560160546,3.52946835685064e-17,1.08256865048692e-15
jg2642.t1,2644.05755678695,0.495274624293171,0.395748362737333,1.25148875125453,0.210756215135343,0.343715974702069
jg13730.t1,0.568502270655466,2.79698353190965,4.24573045083258,0.658775578030671,0.51003989210045,NA
jg8193.t1,1499.45111268803,-0.428081487063097,0.113230432517999,-3.7806222015009,0.000156436910984784,0.000783207018394409
jg32512.t1,1272.63370889715,0.935063671349392,0.181896179301805,5.14064492689492,2.73797039558194e-07,2.51409597080754e-06
jg31783.t1,443.175833951516,-0.548338187859155,0.198130301403746,-2.76756348713043,0.00564770441400099,0.0178455688322559
jg2539.t1,10220.9755821187,-0.307445729106364,0.371175296970434,-0.828303315483988,0.407498745670365,0.559886292778854
jg25738.t1,53.4222147790183,-4.11729508261679,0.584391138015519,-7.045444078085,1.84870948366744e-12,3.52174317085026e-11
jg13627.t1,3.05160335439585,-0.14228022641758,1.96298453946463,-0.0724815827924882,0.942218661716838,0.965741779825125
jg19281.t1,9965.2772124031,0.261995517223234,0.115050379798748,2.27722427063284,0.0227728365013197,0.0581364431573771
jg20401.t1,72.2981120962303,-3.97446860750698,0.925565186705291,-4.29409907005555,1.75404142397511e-05,0.000110727906677657
jg12898.t1,3402.69441613692,-0.364958181480797,0.0870230144208847,-4.19381222208284,2.74305079195767e-05,0.000165618590442447
jg32409.t1,189.746538632161,0.658011648569781,0.708095724408524,0.929269342954191,0.352749518808423,0.505132729545707
jg9686.t1,300.12830348711,0.163537385022402,0.994558659203394,0.164432116204579,0.86939098257556,0.920762360675644
jg19178.t1,268.680450357861,0.434444364990752,0.222834481738425,1.94962808987851,0.05122046286868,0.11322375783974
jg4246.t1,1.83986397277509,0.982445522449132,1.91921946399477,0.511898477938639,0.608722063468002,0.743951035958627
jg33490.t1,292.339567863431,-0.323930476989461,0.706281185139806,-0.458642370496307,0.646491004646021,0.77491546551177
jg27445.t1,8.00103956748949,0.690183511642138,1.05943144853462,0.651465946755479,0.514745752385772,0.661949165471396
jg33387.t1,0.144644749570931,-0.300766906419286,4.32794324777957,-0.0694941890870665,0.944596257909608,NA
jg5842.t1,3.5909343845458,-0.875827476432921,1.33536861229145,-0.655869449357529,0.511908126561859,0.659523823660541
jg15334.t1,75.0353624379802,-10.7173252574262,1.49047236107616,-7.19055618695809,6.45279152418302e-13,1.30164834155176e-11
jg16930.t1,0.61613971231343,0.821046379970092,3.57758305348613,0.229497503676409,0.818482260635912,NA
jg22005.t1,12613.8530991076,0.0639781661689389,0.0859668500259638,0.744219035007287,0.456743974034148,0.608323202753877
jg5739.t1,97.2360930569337,0.397120138540323,0.580822064540225,0.683720820514422,0.494151473538545,0.643885630142798
jg23601.t1,1.0832541894889,-0.0257394336861519,3.0496755362461,-0.00844005645198406,0.993265889214981,NA
jg22872.t1,2942.2106476847,-1.17806114084793,0.278166526377239,-4.23509311559036,2.28457018476611e-05,0.000140353037015981
jg892.t1,1719.33759363189,-0.112197495379214,0.13511607286316,-0.830378599686238,0.406324761205563,0.558734937130174
jg10761.t1,30.0404023297949,-1.07975608902339,0.407136299453346,-2.65207521528579,0.00799987187773868,0.0241381020646022
jg29152.t1,34031.745488317,-0.474301070462613,0.176242299009482,-2.69118749090475,0.00711981687711116,0.0217932935452987
jg22769.t1,294.914383930695,-0.550751607288082,0.242515237624183,-2.27099794917448,0.0231471020979683,0.0589471432955083
jg789.t1,848.317591723947,-0.0890720450867025,0.275213180314411,-0.323647453893539,0.746204956943831,0.851522217010463
jg17041.t1,1153.09246414642,-0.128477252468855,0.199913520822341,-0.642664147679286,0.520442049441033,0.667211062546998
jg10658.t1,1216.76889173582,0.170660961512884,0.141325563231197,1.20757319207493,0.227211476027142,0.364610598390102
jg29049.t1,119.739622544519,-0.533839189112577,0.942234833420127,-0.566567027855302,0.57100838174891,0.711625110934449
jg7446.t1,5.73484793396645,-1.65453757416711,1.59275103944886,-1.03879233677326,0.298901326119055,0.446221140664347
jg18534.t1,1.26937953948607,-4.60732492987302,2.59914267658102,-1.77263255741452,0.0762896131917513,0.155735890369977
jg2006.t1,164.730065406481,0.977093661730925,0.293835461231638,3.3253088569887,0.00088320636530123,0.00362651585289719
jg25205.t1,2447.23134060421,1.46667739005184,0.193450770792154,7.58165699751932,3.411692652184e-14,7.93825337488185e-13
jg24476.t1,387.130244364965,0.089726770655786,0.278107480424385,0.32263343121467,0.746972872124974,0.851893835435244
jg31147.t1,1137.25806115692,-0.0720714058819187,0.128182834997303,-0.562254734679843,0.573942473995562,0.714107576969393
jg3602.t1,1995.09274403647,-0.183809337673307,0.0979745665457546,-1.87609237941836,0.0606425959354488,0.129649995041428
jg2873.t1,3797.42302848885,0.416049578151853,0.129762833305956,3.20623068680142,0.00134486126491217,0.00522019225217543
jg9153.t1,1683.7360238199,0.887771532586685,0.198689239947282,4.46814096637661,7.89023059507035e-06,5.36108385063744e-05
jg13961.t1,357.199848005194,-0.0730765415038339,0.265046894132597,-0.275711744304672,0.782769474493732,0.877784252110232
jg32743.t1,1923.27859745698,-0.620234408454391,0.194636862003505,-3.18662355152038,0.00143943993190006,0.00553137809039532
jg25969.t1,1378.82223667605,0.0135815767571639,0.0956396563290321,0.142007795494777,0.887073848178933,0.931861329271803
jg13858.t1,4.76411952089549,6.33031586665994,1.72947692636711,3.66024881289235,0.000251970456049252,0.0011919967551896
jg20632.t1,10.2501089249063,2.4145113503733,0.875172578297545,2.75889739949371,0.005799674072293,0.0182583725823388
jg25969.t2,380.088406283235,-0.300753990804854,1.44764281275614,-0.207754280375458,0.835420832610756,0.905690989378101
jg26183.t1,1350.66959390166,-0.493469374859487,0.151471379737185,-3.25783904336051,0.00112264062371377,0.00447396266087902
jg20529.t1,2075.81425401499,0.427468068293224,0.144865313288806,2.95079656122384,0.00316955605737935,0.0109002171217153
jg4580.t1,7.06857870341983,0.8651613036169,1.32975889046954,0.650615167770309,0.51529493669833,0.662490452708076
jg5206.t1,1.9449502946132,-0.196107222964033,2.5273977458543,-0.0775925448559526,0.938152172846006,0.963731323499905
jg4477.t1,49.5467853781585,3.95949820519306,0.543903501863541,7.27978068099744,3.34363310040101e-13,6.95686006336473e-12
jg28405.t1,10826.7703545436,0.125297814916383,0.119173405639828,1.05139073809022,0.293079167890359,0.439739609224359
jg15565.t1,0.542015667287037,-0.335092095860076,4.29347295351675,-0.0780468631077796,0.937790775283584,NA
jg22236.t1,0.944762978112195,-2.35906239117824,3.45049577829247,-0.683687951748677,0.494172233073165,NA
jg23832.t1,109749.307253726,-0.0225594611438258,0.333117520337116,-0.0677222294432174,0.94600675339611,0.967392629375289
jg256.t1,54.3315595275709,0.392097733609993,0.489983083494074,0.800227082971804,0.423579241080529,0.575877839765159
jg10125.t1,38.1944271343074,-0.352047685828022,0.474321718145151,-0.742212874427751,0.457958369422974,0.60943867860668
jg30503.t1,0.868852465840784,-3.01694404233319,3.31745916231257,-0.909414071047707,0.363131597077038,NA
jg11721.t1,1209.27897109957,-1.54825718850717,0.599438291462577,-2.58284665921085,0.0097988864297244,0.028609604092787
jg10992.t1,959.887236379534,-0.0785787032428753,0.270935137293149,-0.290027731463468,0.771795022309872,0.870280061571075
jg29383.t1,5105.30093354455,0.988778408630147,0.2134471273626,4.63242780939576,3.6140237353838e-06,2.65046618517389e-05
jg23729.t1,243.072261536871,-1.15374573302119,0.312352722521826,-3.69372715469311,0.000220990918152782,0.00106078556160804
jg6184.t1,245.812492644803,0.762137920550377,0.591343538068943,1.28882429837514,0.197459176605738,0.326979275949472
jg18001.t1,2.29674875127416,-0.0559229573312338,1.57901700235791,-0.0354163110642415,0.971747778522631,0.981731026559654
jg17272.t1,1.92531882104841,-1.15882498615856,2.48538803641088,-0.466255155807382,0.641032873602941,0.770626724686508
jg11618.t1,783.450043337291,1.47415819143733,0.288428800181907,5.11099512429967,3.20466256011424e-07,2.91595241637404e-06
jg10889.t1,2342.99763640272,0.0784218958483643,0.155636697810506,0.503877921798664,0.614347166193325,0.74846883113826
jg7780.t1,4020.81745107138,-0.326066893638191,0.0830347445080969,-3.92687296829576,8.60574026643103e-05,0.000460385752022192
jg8406.t1,2282.47122184199,0.977837036705043,0.101521372674246,9.63183427240144,5.86726330802476e-22,2.74132103322608e-20
jg7677.t1,1401.25363969623,-0.219050585302137,0.196467522148724,-1.11494552843354,0.264873764917799,0.408300881704564
jg17169.t1,4972.40313097132,0.427678731367328,0.104898090607242,4.0770878563332,4.56032649982934e-05,0.000261200282874916
jg2340.t1,0.558342192243918,-3.72955519012268,4.23776114125353,-0.880076782482241,0.37881771574249,NA
jg7677.t2,544.715638417919,-0.300756455390529,1.48255053020553,-0.202864218967858,0.83924116186147,0.905690989378101
jg18765.t1,410.557881430928,1.47224272264631,0.43677627628473,3.37070212505445,0.000749768808954819,0.00314149007901383
jg25436.t1,6822.7364715622,0.398495418998724,0.2614474528423,1.52418933390446,0.127461421680613,0.233387669363823
jg3833.t1,1036.05937640264,1.50082151943666,0.23527559513004,6.37899361643155,1.78255466215816e-10,2.64727556663774e-09
jg13325.t1,4086.17350913365,-0.0483371012582727,0.0858821181506622,-0.562830799928285,0.57355010512714,0.7137857391574
