"""GeneID"",""baseMean"",""log2FoldChange"",""lfcSE"",""pvalue"",""padj"""
jg16732.t1,183.66977104958,-12.843649056296,3.29456578864829,1.55602068358913e-22,7.25602348738174e-21
jg20682.t1,174.793794630452,-12.7957507165685,3.24917931298558,7.59289616626226e-26,4.50103111868366e-24
jg18358.t1,172.909214771511,-12.7771816871015,3.26251840670086,7.83806166912489e-25,4.29100156234004e-23
jg1840.t1,183.94362231494,-12.7346307016417,3.40291237482458,6.49113494508712e-16,1.72087199766421e-14
jg14214.t1,173.164863992455,-12.7283759701655,3.30220795473542,9.67845504495868e-21,3.98724496183103e-19
jg22813.t1,169.298684219253,-12.6861101537722,3.30446622366712,3.15021880353008e-20,1.23897067009167e-18
jg13926.t1,167.586145792832,-12.670408656194,3.30078816910598,2.81132522847044e-20,1.11026019229746e-18
jg11557.t1,214.196299187971,-12.6249543878204,3.75403987615243,4.98616460463468e-09,5.85337699712588e-08
jg8715.t1,1659.70103981623,-12.6014846449909,1.26746136590027,2.23935741906763e-24,1.19845386210737e-22
jg25627.t1,170.660095443013,-12.547084097414,3.45019421942471,1.72090789362547e-13,3.5887133874934e-12
jg9660.t1,155.152027238628,-12.5437350858427,3.29297778474799,1.18449856126548e-19,4.40448867612378e-18
jg9191.t1,153.057660108453,-12.5301450148518,3.2735588057754,1.90146705941687e-20,7.58256334891695e-19
jg26695.t1,1445.5038717803,-12.5227937417788,0.998426038134435,1.36592079065382e-36,1.57697758379034e-34
jg29437.t1,159.515904994623,-12.4964131644052,3.38497580076904,3.67382597330391e-15,9.099393189242e-14
jg8936.t1,142.095587840349,-12.4333652085726,3.24674153654549,1.24547383158021e-21,5.4195147030098e-20
jg1127.t1,151.356880790612,-12.419027254366,3.36568855758637,2.18238522854714e-15,5.49086589312492e-14
jg16120.t1,133.366697832771,-12.3352605081411,3.21585679509543,1.97615927376763e-22,9.12603102040562e-21
jg6297.t1,141.394347998405,-12.3227492465143,3.3412370422098,1.12827696047798e-15,2.92881468108844e-14
jg15334.t1,138.563651923121,-12.2818769554818,3.34340508521461,2.28841108469539e-15,5.74752510324548e-14
jg19890.t1,126.70072402718,-12.2622831737771,3.20146803751261,6.395397622225e-23,3.07752982721926e-21
jg22141.t1,125.096035012154,-12.2280067189986,3.21261090437001,1.83161916662266e-21,7.89803011728013e-20
jg25249.t1,121.776211402991,-12.1755383298913,3.21757747141488,9.6106551727611e-21,3.96501842804749e-19
jg22241.t1,120.574159944357,-12.151829725679,3.22057895352358,3.77910243465764e-20,1.46220622850159e-18
jg3872.t1,121.715548281493,-12.1287033556916,3.26551109766015,1.59636906090041e-17,4.93598692782942e-16
jg25442.t1,116.165926338563,-12.1018987833733,3.207933318928,1.22980270621963e-20,5.01591325989752e-19
jg29709.t1,113.288850020549,-12.0954701976862,3.17520504090518,2.74348469414853e-23,1.34505913977501e-21
jg2260.t1,181.07581978291,-12.046276831609,4.00313106787709,1.03128901070444e-06,8.2803889384435e-06
jg19612.t1,1972.99025091715,-12.0360522229008,0.801192772554283,5.31131490733669e-50,1.0862397744776e-47
jg4073.t1,124.494467978736,-12.0101445069944,3.41168134498625,3.38893502678117e-12,6.02309048335185e-11
jg6994.t1,109.515347881202,-12.0003281647051,3.19546248071854,3.66338159639812e-20,1.42127292504161e-18
jg19710.t1,106.800474959259,-11.9927070296576,3.16876526195595,2.47216486418545e-22,1.13982325912009e-20
jg852.t1,118.470439730716,-11.9722602005186,3.36101538408412,3.40653220350713e-13,6.83502663285327e-12
jg14181.t1,105.23768529433,-11.9463048801893,3.18656373950815,1.50721650258021e-20,6.07811590167276e-19
jg13652.t1,124.027127438679,-11.9174431881883,3.48736686038784,NA,NA
jg18015.t1,102.634724674472,-11.878670574483,3.2077070429974,1.49245603783245e-18,4.99205622374051e-17
jg33002.t1,100.968500944164,-11.8650626718199,3.1907176346706,2.87390977716509e-19,1.02600729101984e-17
jg14748.t1,108.241452852516,-11.8585160426887,3.31717973655934,NA,NA
jg17700.t1,99.7202143822794,-11.847680077378,3.18576814803852,1.46134066643446e-19,5.35737592334847e-18
jg9745.t1,114.554401436133,-11.8188012221424,3.44547383573368,6.74073944999658e-11,1.03430252911202e-09
jg11905.t1,97.1451374927649,-11.8013755454309,3.18215448028591,2.93011379814945e-19,1.04476984145224e-17
jg25348.t1,863.955003771246,-11.7867044604548,1.04191212757876,4.18274321407414e-30,3.2455366857824e-28
jg1616.t1,95.6735523683385,-11.7815957741066,3.17733049201998,2.15482323504121e-19,7.79986079212388e-18
jg19718.t1,89.7707108894511,-11.6955778493741,3.15445707695832,4.29820343255512e-20,1.65411506291557e-18
jg9081.t1,109.658384143487,-11.6506510565847,3.52215588834063,2.18377678460432e-09,2.71969973452766e-08
jg22138.t1,87.0032879458783,-11.6411817034271,3.14598039191385,6.82410902164044e-20,2.58791906632595e-18
jg12801.t1,89.2710140632329,-11.6404312508535,3.19132182838711,2.14079285311439e-17,6.50691942360629e-16
jg26431.t1,5356.53038302392,-11.6393897100489,0.728037978942488,6.79674052096087e-59,2.09251908167905e-56
jg13435.t1,90.5195462699951,-11.6341504420535,3.22378657476461,7.48196358467791e-16,1.97077811735509e-14
jg13431.t1,91.8365982570542,-11.6030157940025,3.27436795360226,7.28639743384497e-14,1.59376723701947e-12
jg9316.t1,87.0297788305464,-11.5926960782515,3.19230758142631,5.92038820015573e-17,1.72619709721852e-15
jg13441.t1,88.5108347161732,-11.5775334480093,3.23724456435454,5.81163645046963e-15,1.4113551726026e-13
jg28878.t1,91.6294191206206,-11.5702150497127,3.29813308739867,5.01772896201293e-13,9.82678629550986e-12
jg19361.t1,83.7381795360413,-11.5508815573486,3.16213109594275,3.99287010688708e-18,1.29179499322476e-16
jg16962.t1,81.5610270200158,-11.5239330155663,3.14600599033849,6.96399652921015e-19,2.38794189969275e-17
jg18410.t1,81.1386332032766,-11.518721927875,3.13855272671365,4.7347352566846e-19,1.64520558093924e-17
jg12814.t1,80.2205049824338,-11.4939152485886,3.14444513554055,1.09159726632637e-18,3.68134427908794e-17
jg27079.t1,78.876208145984,-11.4902454680754,3.12324376052884,4.8790483232204e-20,1.86760576992575e-18
jg19716.t1,79.3468095984357,-11.4846576353468,3.13881617153739,5.57633468541879e-19,1.92595433911835e-17
jg6626.t1,79.769343969942,-11.4635760134477,3.16200808829295,2.25528943996555e-17,6.84766142577875e-16
jg774.t1,79.1263514815012,-11.4481797813592,3.16845153569388,5.78352682247153e-17,1.68829271482794e-15
jg19359.t1,79.8898596646668,-11.4414953983658,3.18553220668015,3.96878328482403e-16,1.07506341543124e-14
jg1180.t1,78.3013484337779,-11.4384679316065,3.15905870167837,2.39322711256202e-17,7.23578444423188e-16
jg16747.t1,91.3619762375041,-11.4346301414632,3.41061849921007,2.84924308145218e-10,4.01869595606595e-09
jg26213.t1,2468.07046186109,-11.4255925096645,0.661334316156154,5.45681223097229e-66,2.11134388915133e-63
jg13438.t1,76.6774073709083,-11.4255332598965,3.13181121298,1.0761714696341e-18,3.63360159417024e-17
jg9471.t1,720.210073174014,-11.4101781928465,1.1917338032394,1.24000152529714e-22,5.82983968346596e-21
jg9936.t1,83.4776945932606,-11.365079791167,3.32742045793507,1.64331537455104e-11,2.69790170895329e-10
jg19416.t1,642.458006699543,-11.3423410371123,0.985554551845141,5.67909699962412e-31,4.69953483506468e-29
jg15559.t1,5127.70951248389,-11.340492702369,0.383937411971666,3.67809613029426e-190,1.75518747337642e-186
jg14183.t1,71.7160182650014,-11.3283945753426,3.10824644700465,2.58834951741256e-19,9.27529704412472e-18
